,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name
1338,yelich,christian,592885,yelic001,yelicch01,11477,2013.0,2022.0,christian yelich-592885
1339,yepez,juan,660766,yepej001,yepezju01,18400,2022.0,2022.0,juan yepez-660766
1340,ynoa,huascar,660623,ynoah001,ynoahu01,20468,2019.0,2022.0,huascar ynoa-660623
1341,young,alex,622065,youna002,youngal01,18333,2019.0,2022.0,alex young-622065
1342,young,danny,664849,yound005,youngda02,18439,2022.0,2022.0,danny young-664849
1343,zabala,aneurys,656008,zabaa001,zabalan01,20802,2022.0,2022.0,aneurys zabala-656008
1344,zavala,seby,664874,zavas001,zavalse01,18887,2019.0,2022.0,seby zavala-664874
1345,zerpa,angel,672582,zerpa001,zerpaan01,22717,2021.0,2022.0,angel zerpa-672582
1346,zimmer,bradley,605548,zimmb001,zimmebr01,16221,2017.0,2022.0,bradley zimmer-605548
1347,zimmermann,bruce,669145,zimmb002,zimmebr02,20370,2020.0,2022.0,bruce zimmermann-669145
1348,zunino,mike,572287,zunim001,zuninmi01,13265,2013.0,2022.0,mike zunino-572287
